"구분(1)",2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분(1)",총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타
"구분(1)",소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계
"구분(1)",소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계
"합계",4108828398,196132388,3281805611,271755603,52104408,2957945600,0,2192395,628236236,461768,4110786308,165210275,3248620227,215005604,62035302,2971579321,0,66053571,630902235,0,4326342760,125928939,3465537531,289152812,64597314,3111787405,0,8653020,718826270,7397000,4518420114,87132022,3652782984,361088584,29423175,3262271225,0,1000000,758626783,18878325,5383262664,101704901,4169710588,390450729,32546007,3746713852,0,2000000,1073341446,36505729,5872871775,98738523,4562771184,370671347,34747162,4157352675,0,7500000,1200359196,3502872,6504890605,107700555,5127220282,414246297,38807595,4674166390,0,16300000,1250533799,3135969,6942985584,96459259,5474561747,434920855,147811475,4891829417,0,4500000,1367424578,40000,7371709122,109477897,5774954879,445559192,59437255,5269958432,0,34235578,1452464369,576399,7792871607,134108551,6079007922,432272800,137240376,5509494746,0,11800000,1567745134,210000
"서울특별시",710346530,4033600,658572402,124325776,3536851,530709775,0,0,47740528,0,679843294,0,633954572,129607619,34711035,469635918,0,6385571,39503151,0,713712984,13500,652947772,120281262,3128161,529538349,0,0,60751712,0,762517008,0,667605625,151519325,4957537,511128763,0,0,94911383,0,1071540274,0,839667638,154015034,3887240,681765364,0,0,219854000,12018636,1132587234,0,890462234,137349786,1769876,751342572,0,0,242125000,0,1243705475,741500,985980575,146865196,3276939,835838440,0,0,256983400,0,1275000559,4771900,995989659,145190040,6781664,844017955,0,0,274239000,0,1304940435,9883500,1009849334,141115289,4848145,863885900,0,0,285207601,0,1410298564,8150900,1114231664,146442633,7396284,960392747,0,0,287906000,10000
"부산광역시",301546105,43793400,206892217,25557797,4460536,176873884,0,2083720,48776768,0,325981461,59034900,220316288,0,4515379,215800909,0,0,46630273,0,318247665,0,249264676,60720955,2811928,185731793,0,4250000,64732989,0,338444554,0,260710219,54836797,3066243,202807179,0,1000000,76734335,0,362975090,0,282409246,59550226,3552233,219306787,0,2000000,78565844,0,371318579,0,279228976,45946857,4112621,229169498,0,7500000,84589603,0,391482113,2511800,297370751,49286272,3362257,244722222,0,8300000,83299562,0,375644748,5375000,283859135,47003534,2472402,234383199,0,4500000,81910613,0,426667238,7626600,302128302,45341977,1354939,255431386,0,30680000,86232336,0,432233653,3407940,334444719,59577962,2569548,272297209,0,4500000,89880994,0
"대구광역시",211532091,15097580,165013333,33273554,596611,131143168,0,0,31421178,0,261412061,13862100,159959118,34788950,626500,124543668,0,59528000,28062843,0,223890475,30925620,164772020,26016429,665027,138090564,0,0,28192835,0,240887748,19612000,186287898,38884134,697700,146706064,0,0,34987850,0,263632868,1436600,211524460,39485121,2707547,169331792,0,0,50671808,0,305864729,99380,221186223,35451703,4378857,181355663,0,0,84579126,0,306405400,438800,242638544,35941791,1764927,204931826,0,0,63328056,0,367917245,6156300,260631341,30859780,2090149,227681412,0,0,101129604,0,352972153,2737465,282692337,37205306,3047300,242439731,0,0,66965952,576399,352090255,3928000,266782109,33353392,2094430,231334287,0,4800000,76580146,0
"인천광역시",156500373,438903,119009428,0,1925428,117084000,0,0,37052042,0,174057039,657586,139593309,0,1515410,138077899,0,0,33806144,0,178128859,89900,139862450,0,794387,139068063,0,0,38176509,0,192596159,52700,155698395,0,5155776,150542619,0,0,36845064,0,316311287,15375500,222866051,42501351,3635704,176728996,0,0,78069736,0,338793494,17764848,237598368,46042396,2662431,188893541,0,0,83430278,0,383040268,2584943,292061654,51098894,8517516,232445244,0,0,88393671,0,375964734,1992110,277471168,67348676,11394492,198728000,0,0,96501456,0,447091940,4755645,328815474,51434439,9023551,268357484,0,0,113520821,0,457087867,6145205,321208478,0,15879411,305329067,0,0,129734184,0
"광주광역시",120112043,10124500,84578540,33704696,651119,50222725,0,0,25409003,0,77774249,115512,51703755,0,983635,50720120,0,0,25954982,0,71513254,338300,45596585,0,344046,45252539,0,0,25578369,0,94450006,253100,67011628,0,414150,66597478,0,0,27185278,0,108850253,2000,72703788,0,368580,72335208,0,0,36144465,0,134775120,576600,97659375,20494139,989505,76175731,0,0,36539145,0,128270936,801484,96328162,15709778,1137997,79480387,0,0,31141290,0,156437463,480300,117844538,24276016,2584650,90983872,0,0,38112625,0,157997954,0,113468766,10633456,2675495,100159815,0,0,44529188,0,172384314,882000,118126298,27073251,3096836,87956211,0,0,53376016,0
"대전광역시",138623064,5968720,105158684,43677185,1315000,60166499,0,0,27495660,0,128071344,13268930,87767404,22631670,998278,64137456,0,0,27035010,0,143052755,13287400,100112174,27763616,1295200,71053358,0,0,29653181,0,107131018,480700,78614624,23216146,1659740,53738738,0,0,28035694,0,127572606,700,80156248,21939315,1193560,57023373,0,0,47415658,0,109922168,120700,75941468,0,143560,75797908,0,0,33860000,0,162650793,43900,105691563,0,1250208,104441355,0,0,56915330,0,205589986,0,150666758,35332541,2491123,112843094,0,0,54923228,0,219625768,0,159951525,49184290,2736385,108030850,0,0,59674243,0,250179501,11753400,174937971,45849002,3926245,125162724,0,0,63488130,0
"울산광역시",89838822,11538700,59753727,3788737,442056,55522934,0,0,18546395,0,104147820,163682,80218338,19220238,758796,60239304,0,0,23765800,0,110314794,347750,84231998,19387791,1090972,63753235,0,0,25735046,0,124588846,453912,96502881,28725784,827878,66949219,0,0,27632053,0,133856495,842328,101553232,32890599,1209597,67453036,0,0,31460935,0,124940980,851428,92692508,23240332,1053323,68398853,0,0,31397044,0,130939530,1021557,99459221,27905146,1480697,70073378,0,0,30458752,0,134212050,7200,100345739,29291037,1070573,69984129,0,0,33859111,0,155969903,1544580,115147012,28888366,835333,85423313,0,0,39278311,0,161113575,3079290,117594712,29450486,756496,87387730,0,0,40439573,0
"세종특별자치시",6243000,0,5275000,5275000,0,0,0,0,968000,0,9803000,0,8519000,8519000,0,0,0,0,1284000,0,12353106,0,10686106,10686106,0,0,0,0,1667000,0,17357843,856000,14335843,14335843,0,0,0,0,2166000,0,22182045,1676500,17899545,17899545,0,0,0,0,2606000,0,20732931,0,16693931,16693931,0,0,0,0,4039000,0,24652559,0,19719889,19719889,0,0,0,0,4932670,0,47435016,112500,41130481,41130481,0,0,0,0,6192035,0,54994320,855310,47078093,47078093,0,0,0,0,7060917,0,56157305,618958,47012347,47012347,0,0,0,0,8526000,0
"경기도",967620431,19826040,745602209,2152858,17949644,725499707,0,108675,202083507,0,852617932,1924563,671343540,193127,2084887,669065526,0,0,179349829,0,962962278,13231992,744794262,2696653,402382,741695227,0,0,198048024,6888000,1022822692,33079944,789846428,6826555,421970,782597903,0,0,181017995,18878325,1216193423,1379147,971372622,0,1181326,970191296,0,0,243208000,233654,1300823980,3217122,1044462858,0,424032,1044038826,0,0,253144000,0,1488899538,5765827,1223854711,0,1695826,1222158885,0,0,259279000,0,1691369540,3537843,1379198697,0,50894027,1328304670,0,0,308633000,0,1816735638,3101540,1447564098,0,2602229,1444961869,0,0,366070000,0,1908876196,7579112,1516103084,0,70457983,1445645101,0,0,385194000,0
"강원도",157231300,4261098,132033670,0,9081770,122951900,0,0,20474764,461768,167062455,10870300,131878456,0,6627961,125250495,0,0,24313699,0,181946075,13820560,145538571,0,33786445,111752126,0,3003000,19583944,0,185234315,7611480,154726312,0,3862240,150864072,0,0,22896523,0,191187382,3700580,156063802,0,1668156,154395646,0,0,31423000,0,243995445,5043130,205172315,0,7409039,197763276,0,0,33780000,0,284457786,7835369,237286417,0,3648692,233637725,0,0,39336000,0,317185207,12122744,258891463,0,8154268,250737195,0,0,46171000,0,363007582,23911725,291249857,0,13658881,277590976,0,0,47846000,0,374300389,21029000,298260389,519000,12694042,285047347,0,0,54811000,200000
"충청북도",144786020,10371100,113096605,0,1696500,111400105,0,0,21318315,0,145283624,1798960,121444227,0,587400,120856827,0,0,22040437,0,129186973,13586800,95639295,0,1493807,94145488,0,0,19960878,0,152747403,5248400,120490574,0,770153,119720421,0,0,27008429,0,104614408,2354900,75403874,0,1351020,74052854,0,0,25147000,1708634,150883346,1249750,120438724,0,369620,120069104,0,0,25692000,3502872,170710951,1690800,137789182,0,550213,137238969,0,0,28095000,3135969,162588832,839500,129759332,0,1322461,128436871,0,0,31990000,0,182544726,0,143301726,0,285810,143015916,0,0,39243000,0,222895530,4820000,173006530,0,1839947,171166583,0,0,45069000,0
"충청남도",194576478,6508520,163661494,0,506042,163155452,0,0,24406464,0,213358489,10857000,161368616,0,5055756,156312860,0,0,41132873,0,247713184,6553590,203963188,0,3890834,200072354,0,0,37196406,0,232763877,1117250,200263410,0,4307435,195955975,0,0,31383217,0,261565176,3036400,217923776,0,1906350,216017426,0,0,40605000,0,275264542,5663700,226642842,0,6658505,219984337,0,0,42958000,0,265267059,6447000,209094059,0,2061893,207032166,0,3000000,46726000,0,278769214,5891300,221904914,0,1991234,219913680,0,0,50973000,0,261466477,409500,213213977,0,1004660,212209317,0,2300000,45543000,0,325550441,3659170,272202271,0,1870329,270331942,0,2500000,47189000,0
"전라북도",132887264,7924470,100737752,0,374259,100363493,0,0,24225042,0,159238387,15824448,128689380,0,133358,128556022,0,0,14724559,0,136331185,5961389,108488395,0,184988,108303407,0,1400000,20481401,0,163173610,4631206,135069308,0,232750,134836558,0,0,23473096,0,200969539,5839006,162806957,0,354209,162452748,0,0,31477000,846576,232205155,6301914,190419241,0,963036,189456205,0,0,35484000,0,232274960,7277115,184260845,0,495200,183765645,0,0,40737000,0,276373661,5901541,229440120,0,1418469,228021651,0,0,41032000,0,263728726,4520916,217067232,0,1647265,215419967,0,1255578,40885000,0,295121520,7376536,236301984,0,1807385,234494599,0,0,51443000,0
"전라남도",157350736,15818145,118111107,0,306809,117804298,0,0,23421484,0,169334692,6392663,138733391,0,438807,138294584,0,140000,24068638,0,179784164,4477000,152256493,0,12075365,140181128,0,20,23050651,0,155614908,4760430,134771113,0,426671,134344442,0,0,16083365,0,192589180,4925491,161380689,0,327741,161052948,0,0,26283000,0,214080749,5441409,181254340,0,485294,180769046,0,0,27385000,0,232373115,6240691,195722424,0,1089059,194633365,0,0,30410000,0,262603497,3615019,224598478,0,1540734,223057744,0,0,34390000,0,271506722,9035159,225063563,0,8152563,216911000,0,0,37408000,0,252190693,9311751,210455942,0,3120062,207335880,0,0,32423000,0
"경상북도",264017666,13405225,219920728,0,2351164,217569564,0,0,30691713,0,263223682,11194800,219936892,0,884600,219052292,0,0,32091990,0,290433310,11300403,246104980,0,1943900,244161080,0,0,33027927,0,270049073,6192600,231594910,0,1059100,230535810,0,0,32261563,0,366917709,47538780,258972700,9288000,1521650,248163050,0,0,38708000,21698229,317730329,22376100,252210229,0,1792380,250417849,0,0,43144000,0,343540763,2451750,292741013,0,3579894,289161119,0,5000000,43348000,0,381533211,6419915,324480296,0,3846353,320633943,0,0,50593000,40000,442877626,7216298,383606328,0,4340806,379265522,0,0,52055000,0,450412615,4964088,377594527,0,4555150,373039377,0,0,67854000,0
"경상남도",292020869,22761237,238489852,0,2762619,235727233,0,0,30769780,0,298361955,11626141,232126276,0,2113500,230012776,0,0,54609538,0,314645728,2722815,244624983,0,517705,244107278,0,0,67297930,0,311308225,2708300,236069161,0,1563832,234505329,0,0,72530764,0,326322796,8767969,243763827,1614538,6239094,235910195,0,0,73791000,0,345078396,6629287,258204109,0,1535083,256669026,0,0,80245000,0,421479638,10527529,325564109,0,4896277,320667832,0,0,85388000,0,429215426,8056087,333422339,0,46813876,286608463,0,0,87737000,0,421901460,9356659,319696801,0,3223893,316472908,0,0,92848000,0,464995114,10800428,350184686,0,5176228,345008458,0,0,104010000,0
"제주특별자치도",63595606,4261150,45898863,0,4148000,41750863,0,0,13435593,0,81214824,7618690,61067665,45000,0,61022665,0,0,12528469,0,112125971,9271920,76653583,21600000,172167,54881416,0,0,25691468,509000,146732829,74000,123184655,42744000,0,80440655,0,0,23474174,0,115982133,4829000,93242133,11267000,1442000,80533133,0,0,17911000,0,253874598,23403155,172503443,45452203,0,127051240,0,0,57968000,0,294739721,51320490,181657163,67719331,0,113937832,0,0,61762068,0,205145195,31180000,144927289,14488750,2945000,127493539,0,0,29037906,0,227680454,24523000,175060454,34677976,0,140382478,0,0,28097000,0,206984075,26602773,150560211,42994727,0,107565484,0,0,29821091,0
