"시도(1)",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"울산",907.4,101.2,209.3,596.9,907.4,101.2,209.3,596.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.4,142.5,250.4,608.5,674.6,142.5,250.4,281.7,326.7,0.0,0.0,326.7,0.1,0.0,0.0,0.1,1059.1,182.3,274.1,602.7,715.0,182.3,274.1,258.6,344.0,0.0,0.0,344.0,0.1,0.0,0.0,0.1,1032.1,0.0,378.8,653.3,782.3,0.0,378.8,403.5,249.8,0.0,0.0,249.8,0.0,0.0,0.0,0.0,1276.6,79.1,531.7,665.8,1009.5,79.1,531.7,398.7,267.1,0.0,0.0,267.1,0.0,0.0,0.0,0.0,1306.7,70.3,542.7,693.7,1023.5,70.3,542.7,410.5,283.2,0.0,0.0,283.2,0.0,0.0,0.0,0.0,1420.5,258.2,444.3,718.0,1056.3,258.2,444.3,353.8,364.2,0.0,0.0,364.2,0.0,0.0,0.0,0.0,1333.5,217.5,416.7,699.3,999.0,217.5,416.7,364.8,334.5,0.0,0.0,334.5,0.0,0.0,0.0,0.0,1344.2,238.5,434.7,671.0,1040.0,238.5,434.7,366.8,304.1,0.0,0.0,304.1,0.1,0.0,0.0,0.1,1267.5,154.5,480.5,631.3,1.2,889.1,154.5,448.3,286.3,0.0,376.4,0.0,32.2,343.0,1.2,2.0,0.0,0.0,2.0,0.0
"세종",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.3,5.9,34.5,11.9,47.2,5.9,34.5,6.8,5.1,0.0,0.0,5.1,0.0,0.0,0.0,0.0,70.1,3.8,31.4,34.9,65.7,3.8,31.4,30.5,4.4,0.0,0.0,4.4,0.0,0.0,0.0,0.0,71.8,3.4,31.5,36.9,67.5,3.4,31.5,32.6,4.3,0.0,0.0,4.3,0.0,0.0,0.0,0.0,100.3,8.6,35.4,56.3,82.9,8.6,35.4,38.9,17.4,0.0,0.0,17.4,0.0,0.0,0.0,0.0,128.5,9.9,38.5,80.1,128.5,9.9,38.5,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.6,16.1,59.3,79.2,154.6,16.1,59.3,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.7,18.3,85.2,216.2,319.7,18.3,85.2,216.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.3,7.8,85.0,215.4,17.1,72.3,7.8,34.2,20.2,10.1,251.7,0.0,50.8,193.9,7.0,1.3,0.0,0.0,1.3,0.0
"경기",8471.1,650.7,2767.9,5052.5,5846.6,637.8,2686.8,2522.0,2623.3,12.9,81.1,2529.3,1.2,0.0,0.0,1.2,8706.8,711.8,2893.9,5101.1,6012.2,701.8,2807.2,2503.2,2693.9,10.0,86.7,2597.2,0.7,0.0,0.0,0.7,8567.9,531.9,3022.8,5013.2,5537.3,519.4,2995.6,2022.3,3029.5,12.5,27.2,2989.8,1.1,0.0,0.0,1.1,8141.5,609.8,2962.0,4569.7,6136.1,609.8,2931.4,2594.9,2005.4,0.0,30.6,1974.8,0.0,0.0,0.0,0.0,8337.5,550.6,3095.4,4691.5,6993.1,541.0,3095.4,3356.7,1279.5,9.6,0.0,1269.9,64.9,0.0,0.0,64.9,8908.1,611.5,3361.3,4935.3,7154.9,607.4,3361.3,3186.2,1753.1,4.1,0.0,1749.0,0.1,0.0,0.0,0.1,9476.5,865.7,3394.4,5216.4,7898.6,865.2,3379.1,3654.3,1511.7,0.5,15.3,1495.9,66.2,0.0,0.0,66.2,9229.8,720.8,3415.1,5093.9,8346.7,706.1,3403.7,4236.9,797.5,14.7,11.4,771.4,85.6,0.0,0.0,85.6,9861.3,847.2,3612.9,5401.2,8938.0,794.7,3567.4,4575.9,923.0,52.5,45.5,825.0,0.3,0.0,0.0,0.3,9543.9,934.2,3626.6,4945.8,37.3,6593.2,725.0,3348.3,2504.5,15.4,2929.1,209.2,277.1,2421.8,21.0,21.6,0.0,1.2,19.5,0.9
"강원",1848.1,665.6,137.0,1045.5,1317.1,665.6,137.0,514.5,528.4,0.0,0.0,528.4,2.6,0.0,0.0,2.6,1859.1,497.5,335.7,1025.9,1575.6,497.5,335.7,742.4,281.5,0.0,0.0,281.5,2.0,0.0,0.0,2.0,1843.3,500.4,344.8,998.1,1515.5,500.4,344.8,670.3,325.8,0.0,0.0,325.8,2.0,0.0,0.0,2.0,1834.4,494.7,376.1,963.6,1464.5,494.7,376.1,593.7,367.6,0.0,0.0,367.6,2.3,0.0,0.0,2.3,1848.9,473.1,389.7,986.1,1336.8,473.1,389.7,474.0,509.5,0.0,0.0,509.5,2.6,0.0,0.0,2.6,1793.7,465.9,408.8,919.0,1229.6,465.9,408.8,354.9,550.5,0.0,0.0,550.5,13.6,0.0,0.0,13.6,1858.9,456.5,394.1,1008.3,1233.2,456.5,394.1,382.6,615.5,0.0,0.0,615.5,10.2,0.0,0.0,10.2,1981.3,509.6,372.9,1098.8,1335.8,509.6,372.9,453.3,636.2,0.0,0.0,636.2,9.3,0.0,0.0,9.3,2007.6,488.2,415.4,1104.0,1511.8,488.2,415.4,608.2,492.9,0.0,0.0,492.9,2.9,0.0,0.0,2.9,1866.3,563.8,418.0,876.3,8.2,1389.2,563.7,413.7,405.5,6.3,455.4,0.1,4.3,449.1,1.9,21.7,0.0,0.0,21.7,0.0
"충북",1601.2,330.5,390.1,880.6,1041.4,330.5,378.6,332.3,549.8,0.0,11.5,538.3,10.0,0.0,0.0,10.0,1561.1,270.4,448.7,842.0,979.8,270.4,424.5,284.9,556.5,0.0,24.2,532.3,24.8,0.0,0.0,24.8,1556.7,245.5,417.0,894.2,1074.6,245.5,393.6,435.5,474.9,0.0,23.4,451.5,7.2,0.0,0.0,7.2,1579.0,260.2,432.7,886.1,834.9,260.2,408.6,166.1,733.5,0.0,24.1,709.4,10.6,0.0,0.0,10.6,1755.6,240.0,486.4,1029.2,1626.8,240.0,486.4,900.4,128.8,0.0,0.0,128.8,0.0,0.0,0.0,0.0,1541.3,221.2,499.3,820.8,1443.9,221.2,499.3,723.4,97.4,0.0,0.0,97.4,0.0,0.0,0.0,0.0,1969.9,299.9,626.4,1043.6,1303.2,292.0,620.8,390.4,665.9,7.9,5.6,652.4,0.8,0.0,0.0,0.8,1857.7,334.4,635.4,887.9,1474.7,334.4,613.3,527.0,380.9,0.0,22.1,358.8,2.1,0.0,0.0,2.1,1914.7,415.1,589.2,910.4,1457.4,414.1,589.2,454.1,452.7,0.0,0.0,452.7,4.6,1.0,0.0,3.6,1906.1,329.0,682.4,894.6,0.1,1305.6,329.0,609.2,367.4,0.0,593.3,0.0,73.2,520.0,0.1,7.2,0.0,0.0,7.2,0.0
"충남",1891.1,411.7,464.7,1014.7,1483.4,411.7,355.1,716.6,407.5,0.0,109.6,297.9,0.2,0.0,0.0,0.2,1881.1,412.8,512.5,955.8,1622.2,412.8,511.5,697.9,258.9,0.0,1.0,257.9,0.0,0.0,0.0,0.0,1946.7,426.5,475.6,1044.6,1214.8,426.5,475.3,313.0,731.9,0.0,0.3,731.6,0.0,0.0,0.0,0.0,2066.8,460.3,495.4,1111.1,1699.0,460.3,471.3,767.4,367.8,0.0,24.1,343.7,0.0,0.0,0.0,0.0,2022.7,321.7,680.8,1020.2,1656.8,321.7,680.8,654.3,364.5,0.0,0.0,364.5,1.4,0.0,0.0,1.4,2092.2,220.8,717.0,1154.4,1629.3,220.8,717.0,691.5,459.3,0.0,0.0,459.3,3.6,0.0,0.0,3.6,1968.5,139.6,812.3,1016.6,1496.2,139.6,644.8,711.8,472.3,0.0,167.5,304.8,0.0,0.0,0.0,0.0,2107.3,138.8,859.8,1108.7,1275.8,138.8,695.7,441.3,831.5,0.0,164.1,667.4,0.0,0.0,0.0,0.0,2267.7,125.5,993.8,1148.4,1508.9,125.5,796.1,587.3,757.3,0.0,197.7,559.6,1.5,0.0,0.0,1.5,2288.0,128.9,1003.4,1134.3,21.4,1385.5,127.7,770.1,466.3,21.4,902.4,1.2,233.3,667.9,0.0,0.1,0.0,0.0,0.1,0.0
"전북",1458.0,307.4,226.2,924.4,910.9,287.6,194.3,429.0,542.9,19.8,31.9,491.2,4.2,0.0,0.0,4.2,1525.4,355.7,247.5,922.2,967.7,336.9,217.1,413.7,555.6,18.8,30.4,506.4,2.1,0.0,0.0,2.1,1558.0,428.3,260.4,869.3,1062.8,408.4,220.4,434.0,492.3,19.9,40.0,432.4,2.9,0.0,0.0,2.9,1549.2,392.6,287.9,868.7,1125.8,392.6,255.7,477.5,420.5,0.0,32.2,388.3,2.9,0.0,0.0,2.9,1617.0,395.7,311.0,910.3,1435.1,395.7,311.0,728.4,180.6,0.0,0.0,180.6,1.3,0.0,0.0,1.3,1618.5,326.3,348.3,943.9,1500.7,326.3,348.3,826.1,112.4,0.0,0.0,112.4,5.4,0.0,0.0,5.4,1599.5,327.2,342.8,929.5,1549.7,327.2,342.8,879.7,48.7,0.0,0.0,48.7,1.1,0.0,0.0,1.1,1615.6,353.9,352.5,909.2,1471.8,353.9,348.0,769.9,143.3,0.0,4.5,138.8,0.5,0.0,0.0,0.5,1895.1,327.2,457.0,1110.9,1586.0,327.1,398.3,860.6,306.3,0.1,58.7,247.5,2.8,0.0,0.0,2.8,1578.1,313.8,451.0,774.5,38.8,1074.9,304.0,386.2,384.7,0.0,496.9,7.2,64.8,386.1,38.8,6.3,2.6,0.0,3.7,0.0
"전남",1512.1,709.6,273.2,529.3,1368.9,709.6,273.2,386.1,112.3,0.0,0.0,112.3,30.9,0.0,0.0,30.9,1522.5,641.6,319.5,561.4,1394.9,641.6,319.5,433.8,108.5,0.0,0.0,108.5,19.1,0.0,0.0,19.1,1798.9,667.7,319.5,811.7,1283.5,667.7,319.5,296.3,496.7,0.0,0.0,496.7,18.7,0.0,0.0,18.7,1696.8,614.3,324.4,758.1,1319.9,614.3,310.7,394.9,357.8,0.0,13.7,344.1,19.1,0.0,0.0,19.1,1678.8,673.6,327.6,677.6,1510.9,673.6,321.1,516.2,163.7,0.0,6.5,157.2,4.2,0.0,0.0,4.2,1673.2,582.3,361.8,729.1,1502.2,582.3,358.5,561.4,170.9,0.0,3.3,167.6,0.1,0.0,0.0,0.1,1742.1,538.3,353.7,850.1,1591.0,538.3,338.5,714.2,151.0,0.0,15.2,135.8,0.1,0.0,0.0,0.1,1742.1,594.9,322.8,824.4,1557.2,594.0,319.6,643.6,166.1,0.9,3.2,162.0,18.8,0.0,0.0,18.8,1743.2,643.4,344.8,755.0,1594.0,642.3,334.9,616.8,136.8,1.1,9.9,125.8,12.4,0.0,0.0,12.4,1720.2,696.7,335.3,675.6,12.6,1517.3,694.7,331.0,491.6,0.0,202.6,2.0,4.3,183.7,12.6,0.3,0.0,0.0,0.3,0.0
"경북",2280.7,797.6,388.8,1094.3,2118.0,797.6,362.8,957.6,162.7,0.0,26.0,136.7,0.0,0.0,0.0,0.0,2269.5,787.7,440.5,1041.3,1780.5,787.7,349.8,643.0,488.1,0.0,90.7,397.4,0.9,0.0,0.0,0.9,2349.8,792.8,523.1,1033.9,1903.7,792.8,437.8,673.1,446.1,0.0,85.3,360.8,0.0,0.0,0.0,0.0,2389.2,653.2,621.7,1114.3,1927.6,653.2,513.2,761.2,460.5,0.0,108.5,352.0,1.1,0.0,0.0,1.1,2365.1,606.3,681.5,1077.3,1929.2,600.2,570.0,759.0,434.9,6.1,111.5,317.3,1.0,0.0,0.0,1.0,2360.7,633.5,752.3,974.9,1891.0,633.5,625.0,632.5,464.9,0.0,127.3,337.6,4.8,0.0,0.0,4.8,2503.4,627.8,846.3,1029.3,2059.6,627.8,700.9,730.9,436.4,0.0,145.4,291.0,7.4,0.0,0.0,7.4,2561.7,637.6,832.5,1091.6,2002.5,637.6,666.1,698.8,556.6,0.0,166.4,390.2,2.6,0.0,0.0,2.6,2594.4,594.5,811.3,1188.6,1989.6,584.1,641.3,764.2,586.2,0.0,169.9,416.3,18.6,10.4,0.1,8.1,2367.1,378.8,1071.7,906.4,10.2,1648.2,378.6,929.8,329.6,10.2,706.6,0.1,141.8,564.7,0.0,12.3,0.1,0.1,12.1,0.0
"경남",2981.3,583.3,882.5,1515.5,2213.0,583.3,882.5,747.2,743.0,0.0,0.0,743.0,25.3,0.0,0.0,25.3,3041.8,590.8,930.7,1520.3,2203.8,590.8,930.7,682.3,819.8,0.0,0.0,819.8,18.2,0.0,0.0,18.2,3187.9,623.2,947.7,1617.0,2505.3,623.2,947.7,934.4,657.5,0.0,0.0,657.5,25.1,0.0,0.0,25.1,2846.5,580.8,830.6,1435.1,2322.4,580.8,830.6,911.0,518.6,0.0,0.0,518.6,5.5,0.0,0.0,5.5,2991.9,536.0,952.0,1503.9,2369.1,536.0,952.0,881.1,622.8,0.0,0.0,622.8,0.0,0.0,0.0,0.0,3186.5,479.6,1061.6,1645.3,2549.4,479.6,1061.6,1008.2,635.6,0.0,0.0,635.6,1.5,0.0,0.0,1.5,3445.1,573.9,1089.8,1781.4,2656.3,573.9,1089.8,992.6,787.1,0.0,0.0,787.1,1.7,0.0,0.0,1.7,3380.2,541.2,1063.1,1775.9,2561.6,541.2,1063.1,957.3,808.3,0.0,0.0,808.3,10.3,0.0,0.0,10.3,3420.1,491.4,1090.6,1838.1,2666.1,491.4,1090.6,1084.1,741.9,0.0,0.0,741.9,12.1,0.0,0.0,12.1,3552.8,563.1,1122.4,1867.3,0.0,2674.1,554.2,1122.0,997.9,0.0,869.1,8.9,0.4,859.8,0.0,9.6,0.0,0.0,9.6,0.0
"제주",524.2,104.8,169.6,249.8,524.2,104.8,169.6,249.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.6,129.8,178.7,323.1,631.6,129.8,178.7,323.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.5,147.4,188.2,404.9,660.0,147.4,188.2,324.4,80.5,0.0,0.0,80.5,0.0,0.0,0.0,0.0,856.2,240.0,179.6,436.6,754.2,240.0,179.6,334.6,102.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,778.3,126.6,164.4,487.3,488.9,126.6,164.4,197.9,289.4,0.0,0.0,289.4,0.0,0.0,0.0,0.0,913.9,159.9,172.3,581.7,538.7,159.9,172.3,206.5,375.0,0.0,0.0,375.0,0.2,0.0,0.0,0.2,1010.4,151.6,234.5,624.3,631.9,151.6,234.5,245.8,378.5,0.0,0.0,378.5,0.0,0.0,0.0,0.0,1026.1,129.8,237.0,659.3,604.9,129.8,237.0,238.1,421.2,0.0,0.0,421.2,0.0,0.0,0.0,0.0,964.2,62.9,219.3,682.0,485.1,62.9,219.3,202.9,479.1,0.0,0.0,479.1,0.0,0.0,0.0,0.0,959.2,59.2,260.6,639.4,0.0,542.7,59.0,248.7,235.0,0.0,411.7,0.2,11.9,399.6,0.0,4.8,0.0,0.0,4.8,0.0
